zip;meanVader;meanSyuzhet;MedianIncomePast12Months;LessThanHighSchoolGraduate;HighSchoolGraduate;BachelorsDegreeOrHigher
01002;0.4885;0.375;17716;0.0424337195251972;0.1353330016348;0.664013078399318
01020;-0.4375;0.175;31501;0.125572827747327;0.363060472639051;0.183754155809147
01030;-0.279;-0.566666666666667;37559;0.0514024316841218;0.306368123269532;0.346334416756952
01033;0.273;-0.1;42089;0.0577973938629676;0.239386296763346;0.436107608238756
01056;0;0.3;35699;0.173696173759313;0.339689354716505;0.228943048364693
01062;0.581;0.45;36130;0.062572571281125;0.19184621339182;0.56495936008257
01109;-0.0975;-1.125;16837;0.206493584723812;0.31227034515993;0.166495994217216
01201;0.421;-1.5;30215;0.0898612593383138;0.29345936880622;0.290776032931849
01376;0;-1.2;25207;0.0781049935979513;0.384122919334187;0.241741357234315
01453;0.271;0;32982;0.119653767820774;0.290224032586558;0.292464358452138
01460;0.609;0;51022;0.0253501400560224;0.184313725490196;0.559663865546218
01501;-0.743;-2.6;43155;0.0526315789473684;0.280039721946375;0.40508109897385
01516;-0.0389230769230769;-0.334615384615385;42442;0.0312655912190254;0.250789955097289;0.395143854980875
01545;0.223;1.3;48701;0.0489306166971834;0.173750438271845;0.585570142974015
01730;-0.2;-0.5;61264;0.0323520233017788;0.0876937480495163;0.717569957349423
01746;-0.477;-1;57397;0.0227974116475859;0.117969138875062;0.662220009955202
01748;0;-0.5;70425;0.0322607192823636;0.113570899514443;0.718788577071846
01749;-0.818;-0.15;41657;0.0816508721329488;0.252712539486334;0.443551709929955
01760;-0.487;1.25;60574;0.0291361524529491;0.124970470115757;0.686746987951807
01801;0.545;0.125;44424;0.0572569906790945;0.250401174502373;0.453822254088566
01803;0.681;2.1;48466;0.0427354734667137;0.204706949553999;0.568563221287104
01832;-0.068;-0.325;32518;0.0961858441059772;0.322347369768335;0.302572635351337
01844;0;0.4;33274;0.117352517985612;0.302014388489209;0.281438848920863
01851;-0.757;-1.5;30512;0.208690540341939;0.31308479890266;0.250771567138588
01880;-0.718;-2;49155;0.0548903199839002;0.209800764741397;0.509559267458241
01886;-0.23;-0.6;59136;0.0244787502306415;0.128052155729135;0.673903684113414
01907;0.42;1.1;51749;0.0277650927025299;0.180290437482875;0.566079093981185
01915;-0.2295;-0.775;37157;0.0484956245859917;0.225673744029565;0.506083742983649
01923;0.832;2.25;40960;0.0604444887382898;0.227675901933426;0.435319912298186
01930;0.494;0.9;36019;0.0754261057173679;0.262222222222222;0.399223300970874
01938;-0.382;-1.95;42156;0.0244217214335352;0.197557827856646;0.541050332572223
01970;-0.4575;-1.225;33652;0.0872874654013444;0.251350995123237;0.431725319625676
02026;-0.919;-2.75;49107;0.0483870967741935;0.204677419354839;0.533010752688172
02035;0.361;0.4;48735;0.0594943775420687;0.178562883802536;0.528271792008932
02050;-0.4555;-1.5;46905;0.0318529207418096;0.184864518197852;0.482390037945593
02062;0.1435;0.5;44705;0.0532900834105653;0.224791473586654;0.474003707136237
02121;0.149631578947368;0.0289473684210526;21119;0.196845458818614;0.381991956964538;0.168015877160913
02138;0.23725;-0.025;41802;0.0218270008084074;0.0410585882653278;0.874569203931413
02145;-0.796;-1.5;40565;0.144588161754099;0.189546569216714;0.479347982882146
02151;-0.139;-1.675;30798;0.159948717948718;0.414615384615385;0.228948717948718
02152;0;-0.4;42508;0.0445207880530043;0.311224847507537;0.382738554301339
02155;-0.1695;-0.125;44838;0.0711739486487788;0.203044462642709;0.538152126788381
02169;0.21;0.5;39877;0.0990598329606134;0.252932317101;0.444594039523527
02184;-0.205;0.5;45751;0.0616862164521884;0.254412937023118;0.434498728314922
02188;0.494;0;41411;0.0597712663828366;0.26287670089323;0.41923365890308
02301;0.747;-0.2;28253;0.229342577689736;0.31628079732574;0.186950600470472
02324;0.1805;0.05;32370;0.0574549749040449;0.283554768231473;0.357897844700325
02339;0;0;54683;0.0350582554844127;0.226304188096988;0.487246772331269
02346;-0.532;-0.65;38495;0.0464584495259342;0.366592303402119;0.262465142219743
02368;0.296;2.05;34869;0.141215578446259;0.300201091640333;0.276521525013338
02375;0.586;0.5;43876;0.0588399720475192;0.243326345213138;0.411600279524808
02451;-0.848;-2.675;49972;0.0610523305690592;0.197026022304833;0.533028309979983
02461;0.5035;1.925;68389;0.0185113016367888;0.0362431800467654;0.840023382696804
02472;0.818;-0.6;54568;0.0494056995560647;0.147214664184448;0.660389517399399
02481;0.318;0.1;54523;0.0200292562169461;0.0264431191628221;0.871835264993811
02536;0.103;0.25;33081;0.0686512758201701;0.27089239908195;0.35932226272445
02557;0;0;45247;0.0401905328966954;0.255135456981244;0.421554033938672
02632;0.669;0.85;42708;0.0356961382113821;0.192200203252033;0.47192581300813
02649;-0.3135;-0.75;37454;0.0244595089776475;0.221418101868816;0.413613045071455
02660;-0.649;-1;32120;0.0399437976716178;0.285628261742272;0.349458048976315
02703;-0.436;-1.8;38838;0.0918068199351952;0.290788458571208;0.315753741706527
02747;0;-0.4;25184;0.147566607460036;0.31303730017762;0.284191829484902
02780;-0.6605;-0.85;31964;0.149824391079638;0.335712857999486;0.216555780817224
02816;0.153;0.55;35466;0.086868345445327;0.304546222748014;0.272773364880852
02840;0;0;32009;0.0622290076335878;0.206351145038168;0.514564885496183
02852;-0.426;-0.7;42733;0.0464985644738485;0.202034702284359;0.486081637748096
02864;0.402;0.5;42428;0.098738408882875;0.251044692959764;0.388267600589008
02871;0.848;0.5;43854;0.0479163288470893;0.200178368736825;0.527647154207881
02882;-0.852;-2.1;37983;0.0264298093587522;0.168110918544194;0.567266031195841
02886;-0.4505;-1.15;37041;0.0867043913389141;0.274049478557733;0.347752887808072
02891;0.42;-0.75;33681;0.0700113022730127;0.280107999497677;0.360668089915861
02903;0.16975;0.2375;16071;0.176019320926268;0.223185111521523;0.481176303452195
02904;0.113;-0.175;29109;0.121579142011834;0.344489644970414;0.268167529585799
02914;0.525;0.75;30571;0.203833418237392;0.29381049414162;0.210710646968925
02920;0.511;0.75;31282;0.119452193761096;0.30933661823847;0.283757834861056
03038;0.273;0.15;36555;0.0604096002747843;0.334506891073805;0.28706367266326
03063;0.414;1.0875;42247;0.0498676811114787;0.217251075090969;0.449884220972544
03103;-0.1;-0.783333333333333;30679;0.186573114335832;0.328057726040504;0.214838143836709
03106;0.428;0.85;35795;0.056018325697626;0.2585381091212;0.38515201999167
03251;0.149285714285714;-0.15;27630;0.0611183355006502;0.293888166449935;0.296488946684005
03301;0.485333333333333;2.13333333333333;33360;0.0776646805693479;0.240441906653426;0.389316451506124
03458;0.099;2.25;42598;0.0633777457688153;0.165826431400792;0.516204537270436
03801;-0.057;0;46830;0.0413280705827722;0.163280705827722;0.583236591595078
03824;0.013;-0.5;7190;0.0210864084345634;0.0550080220032088;0.75040110016044
03908;0;0;39688;0.0505050505050505;0.204991087344029;0.441473559120618
04005;0.511;1.6;27994;0.109279872086588;0.35649714039727;0.271693007810098
04043;0.625;1.25;36208;0.023019943019943;0.238404558404558;0.488205128205128
04072;0.944;4.15;35508;0.0610366074664734;0.262341428053643;0.393838347227256
04401;0.908;2.3;27896;0.0635305987325409;0.269760696156635;0.351672604596904
04412;-0.856;-2.6;26880;0.0756404426254358;0.256631802334394;0.293921479460361
04463;0.432333333333333;0.383333333333333;18804;0.0917594654788419;0.423608017817372;0.126503340757238
04468;0;-0.5;26003;0.0834375;0.31625;0.28171875
04841;0.138;1.4;28843;0.0694180296690757;0.356599467478129;0.331114492202358
05077;-0.382;-2.1;35550;0.092896174863388;0.307103825136612;0.331147540983607
05401;0.716;1.25;21009;0.0709673294546384;0.150246147944505;0.581868166996995
05446;-0.0755;-0.3;38111;0.0553359683794466;0.231943945382681;0.430560546173194
05701;0;1.2;29682;0.0766478966545214;0.331368002649884;0.310235177210997
06040;0.296666666666667;0.166666666666667;37230;0.0849733155436958;0.263592394929953;0.360740493662442
06062;-0.402;-1.35;41015;0.109889276505384;0.323449112695283;0.283709995449719
06078;0;-1;43967;0.0969473331096947;0.242312423124231;0.438555294643856
06081;-0.494;-0.35;33838;0.0919540229885057;0.246684350132626;0.353669319186561
06082;0;0;37423;0.0787482484820178;0.351113186984275;0.270340962167212
06106;-0.169;-0.1;22107;0.301097450284677;0.333237065764502;0.146299199603928
06107;-0.521;0.6;62536;0.018272914824639;0.09622752726201;0.744621279104038
06333;-0.563;1.3;51104;0.026079869600652;0.208435207823961;0.53239608801956
06340;0.437;0.7;29571;0.0717618074120669;0.320595481469833;0.29721654348168
06355;-0.477;-0.75;46024;0.0529217199558986;0.182018642878621;0.544151548561692
06360;0;0;28793;0.120742667928098;0.374014506464838;0.215665405234942
06450;-0.357;-0.707142857142857;37851;0.14020309254558;0.397607508269867;0.208246788214478
06455;-0.828;-1.8;49544;0.0552654482158399;0.342471714534378;0.385117493472585
06460;-0.041;-0.2625;45000;0.0508361427283955;0.253913682032111;0.434260155545913
06475;0;0;42222;0.0344077769250448;0.234586850856997;0.478383218214377
06480;-0.308;-1.1;47217;0.0656004738634681;0.288020139197394;0.37331556345328
06488;0.788;-0.45;48375;0.0551186534216336;0.216128587196468;0.501655629139073
06492;-0.586;-0.7;44241;0.0746398446331778;0.319603466767153;0.348241978028349
